#
0, 0, 0, 0 
#
-5e-05, -0.005, -0.5, -50 
#
-0.00015, -0.01, -0.5, -2.22045e-14 
#
-0.0003, -0.015, -0.5, 2.77556e-14 
#
-0.0005, -0.02, -0.5, 3.88578e-14 
#
-0.00075, -0.025, -0.5, -8.88178e-14 
#
-0.00105, -0.03, -0.5, -6.66134e-14 
#
-0.0014, -0.035, -0.5, 2.05391e-13 
#
-0.0018, -0.04, -0.5, 0 
#
-0.00225, -0.045, -0.5, -2.72005e-13 
#
-0.00275, -0.05, -0.5, 2.72005e-13 
#
-0.0033, -0.055, -0.5, -2.05391e-13 
#
-0.0039, -0.06, -0.5, 0 
#
-0.00455, -0.065, -0.5, -6.66134e-14 
#
-0.00525, -0.07, -0.5, 5.4956e-13 
#
-0.006, -0.075, -0.5, -1.38778e-13 
#
-0.0068, -0.08, -0.5, 1.38778e-13 
#
-0.00765, -0.085, -0.5, -1.38778e-13 
#
-0.00855, -0.09, -0.5, 1.38778e-13 
#
-0.0095, -0.095, -0.5, -9.71445e-13 
#
-0.0105, -0.1, -0.5, 8.32667e-13 
#
-0.01155, -0.105, -0.5, 1.38778e-13 
#
-0.01265, -0.11, -0.5, 0 
#
-0.0138, -0.115, -0.5, -1.38778e-13 
#
-0.015, -0.12, -0.5, 0 
#
-0.01625, -0.125, -0.5, -1.66533e-12 
#
-0.01755, -0.13, -0.5, 1.94289e-12 
#
-0.0189, -0.135, -0.5, -2.22045e-12 
#
-0.0203, -0.14, -0.5, 5.55112e-13 
#
-0.02175, -0.145, -0.5, -5.55112e-13 
#
-0.02325, -0.15, -0.5, 5.55112e-13 
#
-0.0248, -0.155, -0.5, -5.55112e-13 
#
-0.0264, -0.16, -0.5, 5.55112e-13 
#
-0.02805, -0.165, -0.5, -5.55112e-13 
#
-0.02975, -0.17, -0.5, 5.55112e-13 
#
-0.0315, -0.175, -0.5, 3.05311e-12 
#
-0.0333, -0.18, -0.5, -3.33067e-12 
#
-0.03515, -0.185, -0.5, 0 
#
-0.03705, -0.19, -0.5, 0 
#
-0.039, -0.195, -0.5, 0 
#
-0.041, -0.2, -0.5, 0 
#
-0.04305, -0.205, -0.5, 0 
#
-0.04515, -0.21, -0.5, 0 
#
-0.0473, -0.215, -0.5, 0 
#
-0.0495, -0.22, -0.5, 0 
#
-0.05175, -0.225, -0.5, 0 
#
-0.05405, -0.23, -0.5, 0 
#
-0.0564, -0.235, -0.5, 0 
#
-0.0588, -0.24, -0.5, 0 
#
-0.06125, -0.245, -0.5, 0 
#
-0.06375, -0.25, -0.5, 6.66134e-12 
#
-0.0663, -0.255, -0.5, -6.38378e-12 
#
-0.0689, -0.26, -0.5, 6.66134e-12 
